round_number,emotion,text_id,timestamp,prolific_id,anger,boredom,disgust,fear,guilt,joy,pride,relief,sadness,shame,surprise,trust,generated_text,hidden_emo_text,event_duration,emotion_duration,intensity,confidence,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,previous_participation,age,gender,education,ethnicity,extravert,critical,dependable,anxious,open,quiet,sympathetic,disorganized,calm,conventional,did_you_lie?,original_demographics
round-6,boredom,6180,2021/11/01 9:17:08 pm CET,e8e3c121745b5d24183936f6c8046a55,1,1,1,1,1,3,3,3,1,1,1,5,I was in a very long meeting,I was in a very long meeting,hours,hours,1,2,1,5,5,3,3,1,1,1,3,5,3,2,1,5,3,5,2,1,4,2,5,"Yes, first time, I will answer the following questions.",31,Male,Graduate degree (MA/MSc/MPhil/other),African,5,2,6,1,7,6,6,1,7,2,The event really happened in my life.,ORIGINAL
round-3,anger,371,2021/09/03 4:30:10 pm EET,7db9b98cefdbc843f04c6af91555c8ed,1,4,1,1,1,2,2,2,2,2,2,3,I was racially profiled. Because of my skin colour,I was racially profiled. Because of my skin colour,minutes,minutes,5,4,5,4,1,1,5,1,1,1,5,2,1,5,1,5,1,4,4,4,4,4,3,"Yes, first time, I will answer the following questions.",20,Male,Undergraduate degree (BA/BSc/other),East Asian,6,4,7,3,6,4,5,1,2,2,--,ORIGINAL
round-5,joy,51198,2021/10/06 2:21:57 pm EET,4afe7a89d3a52957efdcc75e1388f297,1,2,1,1,1,1,1,1,1,1,1,1,my grandparents and parents congratulated me on graduating high school.,my grandparents and parents congratulated me on graduating high school.,minutes,minutes,4,4,3,2,5,5,1,3,1,3,3,4,4,1,2,4,1,5,1,1,2,1,2,"No, I participated before and answered the next set of questions.",22,Male,High school,North American,1,6,3,5,5,6,5,5,3,6,The event really happened in my life.,COPIED FROM: text id 5360
round-6,pride,6694,2021/11/01 9:51:08 pm CET,964425d6b36da5699c4c11d381017165,4,4,4,1,4,1,1,1,4,4,1,1,Won in a video game,Won in a video game,hours,hours,5,5,3,5,3,5,2,1,2,5,5,5,5,5,5,5,1,5,5,1,5,1,2,"No, I participated before and answered the next set of questions.",26,Male,High school,European,5,2,5,5,6,5,6,6,6,2,The event really happened in my life.,COPIED: Welcomeback!
round-3,trust,31371,2021/09/03 10:52:13 pm EET,637104db7200547c43914b47ba7de345,1,1,1,1,1,3,2,1,1,1,1,1,Trust my gut feeling about a situation,... my gut feeling about a situation,minutes,hours,5,5,5,1,4,4,2,5,5,4,3,4,3,4,2,4,2,3,1,2,5,3,5,"No, I participated before and answered the next set of questions.",26,Female,Undergraduate degree (BA/BSc/other),European,3.7,3.7,4.7,5,4.7,3.3,5.7,1.7,3.7,2.7,--,"AVERAGED: text id 3938, 31041, 31284"
round-3,trust,31406,2021/09/03 10:53:02 pm EET,779ffc5af31d8a273a59ce1cadc36be4,1,5,1,1,1,2,1,1,1,1,1,1,i was trusted to look after my sisters savings,i was ... to look after my sisters savings,weeks,weeks,3,4,1,3,4,4,2,3,1,2,4,3,4,1,4,3,1,3,1,1,4,1,2,"No, I participated before and answered the next set of questions.",25,Female,Undergraduate degree (BA/BSc/other),European,2,6,5,6,3,6,6,3,2,3,--,COPIED FROM: text id 31054
round-5,boredom,5463,2021/10/06 3:38:48 pm EET,27c33e67198b69da8b1fe91febbd925d,1,5,1,1,2,1,1,1,1,1,1,4,At my previous job when I felt I had outgrown the role,At my previous job when I felt I had outgrown the role,weeks,weeks,4,5,1,4,4,1,5,5,1,3,1,5,2,1,1,1,1,2,1,1,5,4,5,"No, I participated before and answered the next set of questions.",26,Female,High school,European,2,4,5,5,4,6,7,1,5,7,The event really happened in my life.,COPIED FROM: text id 51886
round-3,relief,3981,2021/09/03 9:48:22 pm EET,a7722b7f8213371b3249419c3a245362,1,2,1,1,1,1,1,1,4,1,1,1,I finally found my bank card,I finally found my bank card,hours,hours,5,5,5,1,1,1,4,5,5,3,1,4,1,5,1,1,1,2,1,1,5,1,5,"No, I participated before and answered the next set of questions.",35,Female,Undergraduate degree (BA/BSc/other),European,2,1,5,7,5,6,7,3,4,1,--,COPIED FROM REJECTED: text id 31394
round-3,relief,3978,2021/09/03 9:27:34 pm EET,b016510441420e64fd873d6a79cbe44e,2,2,1,2,1,3,3,4,3,3,4,5,When I went to a beach it was such a wonderful feeling,When I went to a beach it was such a wonderful feeling,hours,days,4,4,4,4,3,4,3,3,4,3,4,3,4,4,3,4,4,3,3,4,4,4,3,"Yes, first time, I will answer the following questions.",36,Male,Graduate degree (MA/MSc/MPhil/other),African,3,2,3,3,4,3,3,4,3,3,--,ORIGINAL
round-5,joy,51116,2021/10/06 2:54:09 pm EET,9c1d1a1708fd110cdf4e64dbada079c9,1,3,1,1,1,2,4,3,1,1,1,1,WHEN MY KID WAS BORN,WHEN MY KID WAS BORN,hours,weeks,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,1,1,5,1,1,5,1,5,"No, I participated before and answered the next set of questions.",45,Male,High school,North American,4,3,7,5,2,4,3,5,6,3,The event really happened in my life.,COPIED FROM REJECTED: text id 558
round-5,sadness,52090,2021/10/06 3:16:44 pm EET,20b9c3112786d4dcff4257d5346b9e42,1,1,1,1,1,1,1,1,1,1,1,1,my ex-husband stole the children,my ex-husband stole the children,weeks,weeks,5,5,4,1,1,5,5,5,1,1,5,4,1,3,2,5,1,1,5,5,5,5,5,"No, I participated before and answered the next set of questions.",67,Female,Undergraduate degree (BA/BSc/other),European,4,1,6,2,6,6,6,2,6,4,The event really happened in my life.,COPIED FROM: text id 5779
